,MW,LogP,HBA,HBD,CSP3,NumRotBond,NumRings,TPSA,NumAromaticRings,SMILES
1921,475.1867117719999,0.4693800000000018,11,4,0.4090909090909091,6,3,171.64999999999998,2,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O.O=C(O)CCC(=O)O
1922,1074.5651362600001,3.00060000000001,20,10,0.8461538461538461,34,4,333.09999999999997,0,C/C(=C\C(=O)OCCCCCCCCC(=O)O[Ca]OC(=O)CCCCCCCCOC(=O)/C=C(\C)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O.O.O
1923,354.04410564,2.5621400000000008,6,4,0.13333333333333333,3,2,109.49,2,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O
1924,1134.3697639400002,-15.23060000000003,35,21,1.0,20,7,554.0500000000002,0,*.*.*O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](OC[C@H]2O[C@@H](O[C@@H]3[C@@H](O)[C@H](O[C@@H]4[C@@H](O)[C@H](O[C@@H]5[C@@H](O)[C@H](*)O[C@H](CO)[C@H]5O)O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]4O)O[C@H](CO)[C@H]3O)[C@H](O)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)[C@@H]1O
1925,323.97365673,2.7345000000000006,7,0,0.3333333333333333,5,2,83.56,2,COP(=O)(OC)SCn1c(=O)oc2cc(Cl)cnc21
1926,136.052429496,1.5076999999999998,2,0,0.125,2,1,26.3,1,COc1ccc(C=O)cc1
1927,196.14632988,3.242200000000002,2,0,0.5833333333333334,5,0,26.3,0,CC(=O)OC/C=C(\C)CCC=C(C)C
1928,332.055520176,0.3548000000000001,8,2,0.16666666666666666,5,2,107.64,2,COc1cc(N([Na])S(=O)(=O)c2ccc(N)cc2)nc(OC)n1
1929,260.127325752,1.2489999999999999,6,4,0.23076923076923078,4,2,96.28,2,COc1ccc(Cc2cnc(N)nc2N)cc1OC
1930,372.05460970400003,-3.4698999999999973,6,1,0.4375,4,3,89.54,1,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[K+]
