SMILES,pIC50
NCc1ccc(NC(=O)CN2CCCCC(NC(=O)c3ccc(-c4ccccc4)cc3)C2=O)cc1,5.444
CCc1ccc(C(=O)NC2CCCCN(CC(=O)Nc3cccc(CN)c3)C2=O)cc1,5.337
NCc1cccc(NC(=O)CN2CCCCC(NC(=O)COc3ccc4ccccc4c3)C2=O)c1,5.337
NCc1cccc(NC(=O)CN2CCCCC(NC(=O)Cc3ccc(-c4ccccc4)cc3)C2=O)c1,5.284
CC(C)(C)OC(=O)NCCCCCC(=O)OCN1C(=O)c2ccccc2S1(=O)=O,5.270
N=C(N)NCCC[C@H]1C(=O)N(C(=O)Nc2ccccc2)[C@@H]1C(=O)O,5.269
O=C(CNC(=O)OCc1ccccc1)OCN1C(=O)c2ccccc2S1(=O)=O,5.159
NCCc1ccc(NC(=O)CN2CCCCC(NC(=O)c3ccc(-c4ccccc4)cc3)C2=O)cc1,4.959
NCCCCCNC(=O)CN1CCCCC(NC(=O)c2ccc(-c3ccccc3)cc2)C1=O,4.921
NCC1CCC(NC(=O)CN2CCCCC(NC(=O)c3ccc(-c4ccccc4)cc3)C2=O)CC1,4.921
CC(C)(C)OC(=O)N(C(=O)OCN1C(=O)c2ccccc2S1(=O)=O)[C@H](CCCCNC(=O)OCc1ccccc1)C(=O)O,4.914
NCc1cccc(CNC(=O)CN2CCCCC(NC(=O)c3ccc(-c4ccccc4)cc3)C2=O)c1,4.886
C[C@H](NC(=O)OCN1C(=O)c2ccccc2S1(=O)=O)C(=O)N(CC(=O)O)C(=O)OCc1ccccc1,4.873
NCc1cccc(NC(=O)CN2CCCCC(NC(=O)c3cnc4ccccc4c3)C2=O)c1,4.824
CC(C)C(OC(=O)N1CCN(C(=O)N2C(=O)[C@H](CC3CCCNC3)[C@H]2C(=O)O)CC1)C(C)C,4.747
NCCCCNC(=O)CN1CCCCC(NC(=O)c2ccc(-c3ccccc3)cc2)C1=O,4.481
NC1CCCc2ccc(NC(=O)CN3CCCCC(NC(=O)c4ccc(-c5ccccc5)cc4)C3=O)cc21,4.481
NCc1ccccc1NC(=O)CN1CCCCC(NC(=O)c2ccc(-c3ccccc3)cc2)C1=O,4.481
O=C(OCN1C(=O)c2ccccc2S1(=O)=O)c1ccc(OCCOc2ccccc2)cc1,4.481
NCCCCCCNC(=O)CN1CCCCC(NC(=O)c2ccc(-c3ccccc3)cc2)C1=O,4.481
CCN(CC)Cc1cccc(NC(=O)CN2CCCCC(NC(=O)c3ccc(-c4ccccc4)cc3)C2=O)c1,4.481
CNCc1cccc(NC(=O)CN2CCCCC(NC(=O)c3ccc(-c4ccccc4)cc3)C2=O)c1,4.481
Nc1cccc(CNC(=O)CN2CCCCC(NC(=O)c3ccc(-c4ccccc4)cc3)C2=O)c1,4.481
NC(=O)c1cccc(NC(=O)CN2CCCCC(NC(=O)c3ccc(-c4ccccc4)cc3)C2=O)c1,4.481
Nc1ccc(CNC(=O)CN2CCCCC(NC(=O)c3ccc(-c4ccccc4)cc3)C2=O)cc1,4.481
O=C(CN1CCCCC(NC(=O)c2ccc(-c3ccccc3)cc2)C1=O)NCC1CCNCC1,4.481
O=C(CN1CCCCC(NC(=O)c2ccc(-c3ccccc3)cc2)C1=O)Nc1ccc2c(c1)CNCC2,4.481
O=C(O)CCN(C(=O)CCNC(=O)OCN1C(=O)c2ccccc2S1(=O)=O)C(=O)OCc1ccccc1,4.481
O=C(Nc1cccc(C(=O)OCN2C(=O)c3ccccc3S2(=O)=O)c1)OCc1ccccc1,4.481
CC(C)C(OC(=O)N1CCN(C(=O)N2C(=O)[C@H](CCCN)[C@H]2C(=O)O)CC1)C(C)C,4.481
Nc1ccc(C(=O)OCN2C(=O)c3ccccc3S2(=O)=O)cc1,4.481
